Kinetic read,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6
0:00:22,149331,75114,17245,8273,1887,937,189,21,42663,39061,52051,47285,52513,43600,36432,34182,64332,4048,52525,3302,10662,10137,4146,1478,3819,1689,14453,5547,2095,606,3380,715,3082,3601,692,667,2974,814,1935,3683,544,590,1489,749
0:01:23,151877,75515,17499,8365,1816,865,206,14,43146,38654,51464,47452,52601,43206,35771,33819,64985,3938,52927,3432,10885,9931,3987,1457,3827,1682,14719,5401,2036,705,3462,670,3053,3610,706,650,2998,846,1910,3588,499,536,1382,760
0:02:24,150982,75124,17173,8191,1775,927,171,21,42812,38770,51163,47943,52426,43344,36266,33906,64314,4070,52343,3548,10643,9792,4034,1532,3693,1529,14293,5694,1985,612,3394,709,3147,3484,765,698,2986,860,1849,3694,547,568,1497,732
0:03:25,148533,73782,16599,8272,1800,901,202,19,42869,38420,50587,46714,52321,42881,36104,33689,64013,3981,52084,3423,10406,10115,3973,1420,3505,1531,14532,5464,2052,597,3263,635,3025,3447,752,672,2993,752,1825,3664,506,494,1497,733
0:04:26,143284,72922,16384,8170,1869,896,184,18,42251,37872,49885,46356,51176,42168,35448,33175,62710,3917,50972,3161,10324,9817,4069,1461,3702,1641,14343,5310,2046,677,3223,660,3018,3625,679,605,2922,847,1807,3532,517,524,1464,645
0:05:27,142531,71292,15959,7796,1953,893,191,13,40840,36946,49261,45263,50129,41262,35142,32818,61496,3703,50511,3198,10094,9370,3815,1303,3796,1612,13845,5218,2018,632,3171,643,2934,3316,705,611,2777,829,1762,3567,513,599,1479,735
0:06:28,140918,69362,15583,7632,1699,848,209,20,40146,36524,47575,44682,49130,40948,33928,31637,60542,3677,49038,3271,9941,9365,3741,1436,3453,1472,13734,5100,1844,643,3194,587,2790,3290,715,650,2905,701,1753,3457,458,483,1424,684
0:07:29,133007,67287,15132,7083,1735,835,164,15,39331,35543,46800,43526,47763,39734,33237,30940,59125,3639,47820,3181,10046,9200,3801,1246,3463,1450,13374,5190,1880,584,3080,616,2852,3267,656,538,2716,833,1726,3295,578,472,1404,725
0:08:30,130733,66004,14675,7189,1686,833,172,23,37898,34276,45307,42106,46716,38081,32032,30096,57245,3467,47001,3079,9745,9313,3589,1214,3495,1517,12905,4919,1777,595,2969,643,2762,3079,641,633,2675,720,1678,3260,479,404,1279,600
0:09:31,126236,62983,14454,6760,1650,687,163,22,37192,33256,44309,41358,45947,37096,31407,29612,55675,3393,45931,2876,9299,8498,3491,1292,3214,1378,12677,4696,1785,534,2976,563,2716,3097,595,548,2656,706,1696,3141,456,441,1270,648
0:10:32,119319,60881,13856,6739,1504,714,151,18,35570,32558,43203,39810,44023,35768,30127,28809,54127,3367,44254,2906,9260,8267,3452,1262,3264,1466,12532,4564,1746,561,2752,575,2741,2972,535,520,2478,703,1589,2998,462,486,1302,585
0:11:33,117857,58739,13198,6380,1543,722,150,18,34744,31392,41384,39129,42768,34879,29755,27919,52181,3175,42718,2749,8630,7978,3244,1197,3040,1351,12302,4388,1680,516,2808,532,2581,2885,589,505,2458,691,1498,2915,455,519,1145,625
0:12:34,111674,56902,12985,6196,1399,752,170,14,33146,30225,40097,37232,41310,34157,28376,26336,50517,3325,40923,2731,8372,7896,3229,1181,3040,1327,11565,4232,1631,543,2758,529,2424,2795,571,524,2547,693,1431,2776,386,419,1166,597
