Kinetic read,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6
0:00:22,151311,76546,15554,7835,1746,938,379,202,50951,56059,47552,56619,60909,62641,33911,37595,62538,4250,69993,3795,29265,22275,3110,1511,1556,1383,6889,12413,1059,606,1026,5162,3400,1230,603,467,832,701,1383,637,533,484,611,708
0:01:23,145731,73822,15203,7539,1654,939,324,179,49728,54002,46138,54853,58722,59271,33562,36153,59434,4026,66791,3836,28140,21759,3115,1399,1544,1321,6832,11904,1027,587,1071,4789,3332,1165,564,431,800,739,1290,631,496,470,518,718
0:02:24,140051,70248,14402,7178,1540,949,321,169,47330,52152,44401,52526,56527,57625,32554,35265,57819,3808,63761,3604,27211,21004,2948,1434,1427,1220,6456,11325,1048,562,962,4924,3100,1236,512,450,659,707,1314,613,475,502,582,715
0:03:25,136101,68366,13601,6770,1534,913,298,194,46463,50166,42443,50731,54585,55702,30657,33727,55327,3892,62676,3449,26189,20644,2860,1305,1331,1270,6371,11044,927,565,940,4660,3036,1216,492,429,739,714,1271,564,463,396,563,584
0:04:26,130575,66206,13250,6756,1544,876,321,155,43948,48395,41032,49061,52702,53250,30410,33173,53550,3771,59736,3364,25673,19592,2779,1379,1483,1183,5876,10469,965,523,938,4420,2833,979,518,431,711,672,1245,580,445,401,499,582
0:05:27,127018,63046,12912,6434,1384,738,335,158,42972,46288,39376,47613,50541,51595,28846,31108,51379,3596,57913,3210,23997,19084,2681,1215,1399,1122,5811,10277,903,511,904,4314,2775,1030,495,412,654,591,1196,609,498,419,516,501
0:06:28,119962,60197,12356,6115,1438,768,316,154,40923,45543,38294,45265,49284,49187,28106,30194,50185,3236,55719,3096,23428,17983,2600,1152,1264,1063,5426,9792,930,499,883,4149,2688,955,443,361,647,564,1071,475,474,408,487,604
0:07:29,115717,57465,11874,5834,1208,771,305,158,39365,43173,36799,43862,46618,47700,27018,28776,47465,3276,53340,2992,22468,17220,2440,1132,1188,1006,5377,9617,835,449,797,3910,2591,926,450,358,587,546,1101,475,396,367,450,519
0:08:30,109957,55432,11233,5507,1296,719,250,124,38037,41260,35182,41545,45171,45524,25871,27512,45490,3191,50734,2777,21336,16988,2543,1160,1190,1044,5154,9264,780,469,780,3760,2577,980,420,385,564,538,1031,481,371,360,440,518
0:09:31,104817,52804,11069,5577,1249,697,245,117,36441,39385,33645,40019,42284,43558,24676,26819,43636,3061,49452,2805,20637,15739,2330,1085,1147,942,4915,8624,789,423,794,3484,2310,880,444,366,531,562,1135,451,367,350,412,456
