Kinetic read,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6
0:00:22,158358,86663,14960,7945,1738,996,229,117,49596,53890,46225,55091,60438,60611,60439,52811,69493,70697,71968,73771,42039,42189,4312,4685,4908,4505,31979,16884,1313,1334,1598,1291,1413,14570,467,618,924,665,2452,1022,506,895,619,791,2044,985,473,608,563,803
0:01:23,157757,84435,14613,7951,1790,939,262,94,49168,53112,45006,54487,58793,59246,59019,51866,68480,69535,70484,72255,41756,41523,4288,4769,4803,4398,31406,16994,1437,1437,1567,1234,1423,14175,487,602,899,613,2417,963,488,897,685,810,2123,982,423,665,573,832
0:02:24,156149,83722,14351,7773,1611,864,222,96,47963,52376,44692,53444,58278,58770,58169,51264,67025,68386,69271,70080,40992,40841,4157,4506,4779,4299,31268,16108,1408,1374,1405,1191,1367,13951,446,593,851,583,2440,1086,541,862,613,699,2052,1000,420,632,567,739
0:03:25,150829,81457,14224,7352,1668,844,299,92,47281,51234,43457,52385,56640,57079,58020,49772,65283,67265,67821,68577,40110,39924,3977,4326,4663,4154,30292,15812,1387,1341,1379,1155,1354,13704,494,573,831,581,2492,998,472,805,597,819,2116,985,455,635,528,804
0:04:26,145475,79921,13958,7363,1627,809,242,85,46091,49750,42570,51466,55327,55917,55882,47943,63907,65455,66192,67637,39559,39137,4067,4267,4354,4082,29820,15591,1343,1181,1395,1133,1316,13399,390,561,848,512,2258,939,448,825,591,683,1861,902,426,558,474,726
0:05:27,141291,77099,13540,7104,1550,871,252,97,44852,49044,41417,49265,53653,54577,54233,47194,61916,63260,64317,64585,37668,38544,3871,4192,4352,3791,28930,14925,1314,1156,1474,1161,1263,13108,460,523,799,566,2299,892,416,765,568,709,1833,904,478,590,500,729
0:06:28,135768,74539,12802,6939,1498,809,211,76,43075,47261,40418,47951,52488,53102,52600,45692,60118,61238,61880,63429,36863,36730,3815,4130,4224,4008,28115,14471,1230,1232,1374,1114,1196,12297,416,536,770,555,2059,873,381,757,528,686,1915,858,402,534,474,751
0:07:29,134546,71723,12420,6715,1397,817,208,65,41656,45903,38451,46658,50781,51010,51360,44378,58517,58794,60183,61224,35458,35179,3646,3978,4165,3720,27273,14063,1260,1199,1422,1108,1212,12639,404,547,763,532,2021,852,381,745,500,681,1757,870,368,557,477,632
0:08:30,128304,68572,12038,6394,1468,751,221,91,40576,44387,37419,45143,49026,48998,48546,42772,57137,56960,58437,58808,34067,34364,3637,3726,3979,3797,26122,13538,1237,1130,1248,995,1034,11828,383,508,716,502,1952,865,382,723,526,624,1621,890,351,488,427,591
0:09:31,120131,66295,11371,6185,1363,733,234,63,38539,42029,36467,43792,47345,47151,46840,40918,55242,54992,56184,56972,33549,33062,3513,3645,3825,3518,24761,13238,1196,1109,1210,1047,1123,11151,353,439,715,490,1971,833,381,715,470,609,1737,792,329,548,421,598
