time (s)	charge (C)	time (s)	current (A)
0.000e+000	8.696e-005	0.000e+000	1.739e-005
5.000e+000	1.354e-004	5.000e+000	9.691e-006
1.000e+001	-2.013e-003	1.000e+001	4.297e-004
1.500e+001	-3.336e-003	1.500e+001	2.646e-004
2.000e+001	-4.314e-003	2.000e+001	1.955e-004
2.500e+001	-5.093e-003	2.500e+001	1.558e-004
3.000e+001	-5.741e-003	3.000e+001	1.296e-004
3.500e+001	-6.296e-003	3.500e+001	1.111e-004
4.000e+001	-6.783e-003	4.000e+001	9.741e-005
4.500e+001	-7.218e-003	4.500e+001	8.701e-005
5.000e+001	-7.613e-003	5.000e+001	7.891e-005
5.500e+001	-7.974e-003	5.500e+001	7.221e-005
6.000e+001	-8.309e-003	6.000e+001	6.691e-005
6.500e+001	-8.623e-003	6.500e+001	6.291e-005
7.000e+001	-9.456e-003	7.000e+001	1.666e-004
7.500e+001	-1.047e-002	7.500e+001	2.031e-004
8.000e+001	-1.147e-002	8.000e+001	2.000e-004
8.500e+001	-1.250e-002	8.500e+001	2.048e-004
9.000e+001	-1.349e-002	9.000e+001	1.995e-004
9.500e+001	-1.446e-002	9.500e+001	1.930e-004
1.000e+002	-1.544e-002	1.000e+002	1.962e-004
1.050e+002	-1.644e-002	1.050e+002	1.998e-004
1.100e+002	-1.742e-002	1.100e+002	1.957e-004
1.150e+002	-1.841e-002	1.150e+002	1.995e-004
1.200e+002	-1.938e-002	1.200e+002	1.931e-004
1.250e+002	-2.037e-002	1.250e+002	1.971e-004
1.300e+002	-2.135e-002	1.300e+002	1.969e-004
1.350e+002	-2.228e-002	1.350e+002	1.866e-004
1.400e+002	-2.324e-002	1.400e+002	1.905e-004
1.450e+002	-2.415e-002	1.450e+002	1.827e-004
1.500e+002	-2.509e-002	1.500e+002	1.891e-004
1.550e+002	-2.602e-002	1.550e+002	1.843e-004
1.600e+002	-2.690e-002	1.600e+002	1.773e-004
1.650e+002	-2.783e-002	1.650e+002	1.848e-004
1.700e+002	-2.870e-002	1.700e+002	1.744e-004
1.750e+002	-2.957e-002	1.750e+002	1.742e-004
1.800e+002	-3.047e-002	1.800e+002	1.793e-004
1.850e+002	-3.133e-002	1.850e+002	1.718e-004
1.900e+002	-3.218e-002	1.900e+002	1.713e-004
1.950e+002	-3.307e-002	1.950e+002	1.769e-004
2.000e+002	-3.392e-002	2.000e+002	1.707e-004
2.050e+002	-3.476e-002	2.050e+002	1.672e-004
2.100e+002	-3.563e-002	2.100e+002	1.752e-004
2.150e+002	-3.645e-002	2.150e+002	1.626e-004
2.200e+002	-3.727e-002	2.200e+002	1.648e-004
2.250e+002	-3.810e-002	2.250e+002	1.658e-004
2.300e+002	-3.893e-002	2.300e+002	1.657e-004
2.350e+002	-3.972e-002	2.350e+002	1.591e-004
2.400e+002	-4.052e-002	2.400e+002	1.602e-004
2.450e+002	-4.136e-002	2.450e+002	1.674e-004
2.500e+002	-4.225e-002	2.500e+002	1.787e-004
2.550e+002	-4.306e-002	2.550e+002	1.613e-004
2.600e+002	-4.386e-002	2.600e+002	1.593e-004
2.650e+002	-4.465e-002	2.650e+002	1.579e-004
2.700e+002	-4.540e-002	2.700e+002	1.500e-004
2.750e+002	-4.614e-002	2.750e+002	1.492e-004
2.800e+002	-4.689e-002	2.800e+002	1.503e-004
2.850e+002	-4.766e-002	2.850e+002	1.527e-004
2.900e+002	-4.842e-002	2.900e+002	1.534e-004
2.950e+002	-4.916e-002	2.950e+002	1.476e-004
3.000e+002	-4.990e-002	3.000e+002	1.480e-004
3.050e+002	-5.061e-002	3.050e+002	1.418e-004
3.100e+002	-5.136e-002	3.100e+002	1.497e-004
3.150e+002	-5.210e-002	3.150e+002	1.487e-004
3.200e+002	-5.281e-002	3.200e+002	1.415e-004
3.250e+002	-5.352e-002	3.250e+002	1.426e-004
3.300e+002	-5.423e-002	3.300e+002	1.417e-004
3.350e+002	-5.495e-002	3.350e+002	1.435e-004
3.400e+002	-5.564e-002	3.400e+002	1.381e-004
3.450e+002	-5.634e-002	3.450e+002	1.398e-004
3.500e+002	-5.702e-002	3.500e+002	1.367e-004
3.550e+002	-5.772e-002	3.550e+002	1.387e-004
3.600e+002	-5.840e-002	3.600e+002	1.361e-004
3.650e+002	-5.906e-002	3.650e+002	1.331e-004
3.700e+002	-5.974e-002	3.700e+002	1.357e-004
3.750e+002	-6.043e-002	3.750e+002	1.371e-004
3.800e+002	-6.107e-002	3.800e+002	1.283e-004
3.850e+002	-6.174e-002	3.850e+002	1.341e-004
3.900e+002	-6.239e-002	3.900e+002	1.303e-004
3.950e+002	-6.305e-002	3.950e+002	1.309e-004
4.000e+002	-6.370e-002	4.000e+002	1.301e-004
