time (s)	charge (C)	time (s)	current (A)
0.000e+000	7.242e-005	0.000e+000	1.448e-005
5.000e+000	1.093e-004	5.000e+000	7.384e-006
1.000e+001	-3.387e-003	1.000e+001	6.992e-004
1.500e+001	-5.144e-003	1.500e+001	3.514e-004
2.000e+001	-6.405e-003	2.000e+001	2.523e-004
2.500e+001	-7.414e-003	2.500e+001	2.017e-004
3.000e+001	-8.265e-003	3.000e+001	1.702e-004
3.500e+001	-9.004e-003	3.500e+001	1.478e-004
4.000e+001	-9.663e-003	4.000e+001	1.317e-004
4.500e+001	-1.026e-002	4.500e+001	1.192e-004
5.000e+001	-1.081e-002	5.000e+001	1.095e-004
5.500e+001	-1.131e-002	5.500e+001	1.011e-004
6.000e+001	-1.178e-002	6.000e+001	9.332e-005
6.500e+001	-1.247e-002	6.500e+001	1.378e-004
7.000e+001	-1.549e-002	7.000e+001	6.042e-004
7.500e+001	-1.825e-002	7.500e+001	5.525e-004
8.000e+001	-2.117e-002	8.000e+001	5.844e-004
8.500e+001	-2.393e-002	8.500e+001	5.508e-004
9.000e+001	-2.672e-002	9.000e+001	5.591e-004
9.500e+001	-2.940e-002	9.500e+001	5.354e-004
1.000e+002	-3.222e-002	1.000e+002	5.639e-004
1.050e+002	-3.472e-002	1.050e+002	5.004e-004
1.100e+002	-3.746e-002	1.100e+002	5.483e-004
1.150e+002	-4.010e-002	1.150e+002	5.274e-004
1.200e+002	-4.272e-002	1.200e+002	5.231e-004
1.250e+002	-4.537e-002	1.250e+002	5.317e-004
1.300e+002	-4.801e-002	1.300e+002	5.281e-004
1.350e+002	-5.068e-002	1.350e+002	5.329e-004
1.400e+002	-5.315e-002	1.400e+002	4.934e-004
1.450e+002	-5.568e-002	1.450e+002	5.068e-004
1.500e+002	-5.825e-002	1.500e+002	5.135e-004
1.550e+002	-6.070e-002	1.550e+002	4.896e-004
1.600e+002	-6.300e-002	1.600e+002	4.604e-004
1.650e+002	-6.541e-002	1.650e+002	4.828e-004
1.700e+002	-6.778e-002	1.700e+002	4.744e-004
1.750e+002	-7.015e-002	1.750e+002	4.737e-004
1.800e+002	-7.238e-002	1.800e+002	4.460e-004
1.850e+002	-7.477e-002	1.850e+002	4.782e-004
1.900e+002	-7.710e-002	1.900e+002	4.657e-004
1.950e+002	-7.940e-002	1.950e+002	4.598e-004
2.000e+002	-8.177e-002	2.000e+002	4.742e-004
2.050e+002	-8.418e-002	2.050e+002	4.812e-004
2.100e+002	-8.637e-002	2.100e+002	4.375e-004
2.150e+002	-8.856e-002	2.150e+002	4.390e-004
2.200e+002	-9.090e-002	2.200e+002	4.677e-004
2.250e+002	-9.314e-002	2.250e+002	4.472e-004
2.300e+002	-9.532e-002	2.300e+002	4.358e-004
