time (s)	charge (C)	time (s)	current (A)
0.000e+000	8.116e-006	0.000e+000	1.623e-006
5.000e+000	1.423e-005	5.000e+000	1.223e-006
1.000e+001	-4.400e-003	1.000e+001	8.829e-004
1.500e+001	-6.591e-003	1.500e+001	4.382e-004
2.000e+001	-8.497e-003	2.000e+001	3.813e-004
2.500e+001	-1.014e-002	2.500e+001	3.292e-004
3.000e+001	-1.171e-002	3.000e+001	3.126e-004
3.500e+001	-1.326e-002	3.500e+001	3.102e-004
4.000e+001	-1.471e-002	4.000e+001	2.905e-004
4.500e+001	-1.615e-002	4.500e+001	2.889e-004
5.000e+001	-1.757e-002	5.000e+001	2.837e-004
5.500e+001	-1.888e-002	5.500e+001	2.626e-004
6.000e+001	-2.019e-002	6.000e+001	2.614e-004
6.500e+001	-2.151e-002	6.500e+001	2.631e-004
7.000e+001	-2.276e-002	7.000e+001	2.515e-004
7.500e+001	-2.407e-002	7.500e+001	2.610e-004
8.000e+001	-2.531e-002	8.000e+001	2.474e-004
8.500e+001	-2.652e-002	8.500e+001	2.427e-004
9.000e+001	-2.772e-002	9.000e+001	2.404e-004
9.500e+001	-2.896e-002	9.500e+001	2.472e-004
1.000e+002	-3.014e-002	1.000e+002	2.371e-004
1.050e+002	-3.133e-002	1.050e+002	2.378e-004
1.100e+002	-3.248e-002	1.100e+002	2.300e-004
1.150e+002	-3.366e-002	1.150e+002	2.350e-004
1.200e+002	-3.488e-002	1.200e+002	2.447e-004
1.250e+002	-3.601e-002	1.250e+002	2.259e-004
1.300e+002	-3.720e-002	1.300e+002	2.372e-004
1.350e+002	-3.837e-002	1.350e+002	2.357e-004
1.400e+002	-3.955e-002	1.400e+002	2.346e-004
1.450e+002	-4.068e-002	1.450e+002	2.276e-004
1.500e+002	-4.183e-002	1.500e+002	2.296e-004
1.550e+002	-4.297e-002	1.550e+002	2.285e-004
1.600e+002	-4.411e-002	1.600e+002	2.268e-004
1.650e+002	-4.527e-002	1.650e+002	2.320e-004
1.700e+002	-4.640e-002	1.700e+002	2.260e-004
1.750e+002	-4.752e-002	1.750e+002	2.234e-004
1.800e+002	-4.862e-002	1.800e+002	2.213e-004
1.850e+002	-4.975e-002	1.850e+002	2.256e-004
1.900e+002	-5.087e-002	1.900e+002	2.251e-004
1.950e+002	-5.203e-002	1.950e+002	2.315e-004
2.000e+002	-5.314e-002	2.000e+002	2.210e-004
2.050e+002	-5.425e-002	2.050e+002	2.217e-004
2.100e+002	-5.536e-002	2.100e+002	2.225e-004
2.150e+002	-5.649e-002	2.150e+002	2.255e-004
2.200e+002	-5.756e-002	2.200e+002	2.157e-004
2.250e+002	-5.864e-002	2.250e+002	2.161e-004
2.300e+002	-5.975e-002	2.300e+002	2.213e-004
2.350e+002	-6.086e-002	2.350e+002	2.224e-004
2.400e+002	-6.193e-002	2.400e+002	2.130e-004
2.450e+002	-6.304e-002	2.450e+002	2.226e-004
2.500e+002	-6.413e-002	2.500e+002	2.175e-004
2.550e+002	-6.523e-002	2.550e+002	2.210e-004
2.600e+002	-6.633e-002	2.600e+002	2.189e-004
2.650e+002	-6.744e-002	2.650e+002	2.232e-004
2.700e+002	-6.850e-002	2.700e+002	2.120e-004
2.750e+002	-6.966e-002	2.750e+002	2.316e-004
2.800e+002	-7.073e-002	2.800e+002	2.135e-004
2.850e+002	-7.184e-002	2.850e+002	2.217e-004
2.900e+002	-7.292e-002	2.900e+002	2.159e-004
2.950e+002	-7.397e-002	2.950e+002	2.113e-004
3.000e+002	-7.507e-002	3.000e+002	2.198e-004
3.050e+002	-7.612e-002	3.050e+002	2.101e-004
3.100e+002	-7.724e-002	3.100e+002	2.230e-004
3.150e+002	-7.833e-002	3.150e+002	2.183e-004
3.200e+002	-7.945e-002	3.200e+002	2.237e-004
3.250e+002	-8.049e-002	3.250e+002	2.093e-004
3.300e+002	-8.156e-002	3.300e+002	2.128e-004
3.350e+002	-8.264e-002	3.350e+002	2.175e-004
3.400e+002	-8.366e-002	3.400e+002	2.032e-004
3.450e+002	-8.477e-002	3.450e+002	2.223e-004
3.500e+002	-8.585e-002	3.500e+002	2.163e-004
3.550e+002	-8.692e-002	3.550e+002	2.137e-004
3.600e+002	-8.801e-002	3.600e+002	2.170e-004
3.650e+002	-8.907e-002	3.650e+002	2.129e-004
3.700e+002	-9.014e-002	3.700e+002	2.149e-004
3.750e+002	-9.119e-002	3.750e+002	2.084e-004
3.800e+002	-9.227e-002	3.800e+002	2.174e-004
3.850e+002	-9.332e-002	3.850e+002	2.098e-004
3.900e+002	-9.439e-002	3.900e+002	2.132e-004
3.950e+002	-9.546e-002	3.950e+002	2.149e-004
4.000e+002	-9.649e-002	4.000e+002	2.055e-004
4.050e+002	-9.753e-002	4.050e+002	2.089e-004
4.100e+002	-9.858e-002	4.100e+002	2.096e-004
4.150e+002	-9.970e-002	4.150e+002	2.238e-004
