Kinetic read,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6,H1,H2,H3,H4,H5,H6
0:00:00,2.985,2.347,1.559,1.108,0.611,0.174,0.232,0.209,0.235,0.248,0.276,0.24,0.598,0.38,2.019,2.444,1.86,2.481,1.031,0.777,2.415,2.364,2.549,2.388,1.936,1.465,2.198,2.347,2.46,2.468,2.312,1.793,2.157,2.301,2.27,2.519,2.31,1.916,2.209,2.374,2.246,2.513
0:05:00,3.134,2.379,1.591,1.129,0.622,0.175,0.236,0.212,0.238,0.251,0.28,0.243,0.614,0.39,2.077,2.524,1.896,2.578,1.059,0.794,2.523,2.513,2.594,2.49,2.071,1.524,2.336,2.482,2.58,2.59,2.421,1.841,2.206,2.377,2.328,2.56,2.357,2,2.259,2.419,2.281,2.547
0:10:00,3.163,2.382,1.591,1.129,0.622,0.176,0.237,0.212,0.239,0.252,0.28,0.243,0.616,0.392,2.085,2.532,1.899,2.585,1.061,0.796,2.535,2.539,2.6,2.501,2.089,1.529,2.353,2.502,2.595,2.601,2.432,1.848,2.214,2.388,2.337,2.567,2.36,2.007,2.264,2.424,2.284,2.551
0:15:00,3.176,2.379,1.588,1.125,0.621,0.175,0.237,0.213,0.239,0.251,0.28,0.243,0.615,0.392,2.085,2.533,1.898,2.583,1.06,0.795,2.537,2.543,2.6,2.503,2.092,1.53,2.355,2.508,2.598,2.601,2.438,1.847,2.216,2.39,2.337,2.568,2.357,2.008,2.265,2.423,2.282,2.55
0:20:00,3.177,2.376,1.584,1.123,0.619,0.175,0.237,0.213,0.239,0.252,0.28,0.244,0.614,0.392,2.084,2.531,1.894,2.579,1.058,0.794,2.535,2.544,2.597,2.502,2.091,1.528,2.354,2.508,2.597,2.599,2.434,1.845,2.215,2.389,2.335,2.565,2.353,2.004,2.262,2.42,2.278,2.547
0:25:00,3.174,2.372,1.58,1.12,0.618,0.176,0.237,0.213,0.24,0.252,0.28,0.244,0.613,0.393,2.083,2.528,1.89,2.574,1.056,0.793,2.532,2.54,2.593,2.498,2.086,1.525,2.352,2.507,2.594,2.596,2.43,1.843,2.213,2.387,2.331,2.559,2.345,2,2.257,2.414,2.273,2.542
0:30:00,3.171,2.368,1.576,1.116,0.617,0.176,0.238,0.214,0.24,0.252,0.28,0.243,0.612,0.392,2.078,2.522,1.885,2.567,1.054,0.791,2.525,2.535,2.588,2.493,2.081,1.522,2.346,2.503,2.588,2.589,2.425,1.837,2.206,2.38,2.324,2.552,2.337,1.996,2.251,2.407,2.266,2.535
0:35:00,3.164,2.363,1.573,1.113,0.615,0.176,0.238,0.214,0.24,0.252,0.28,0.243,0.61,0.392,2.076,2.519,1.881,2.56,1.051,0.79,2.52,2.531,2.582,2.488,2.078,1.519,2.343,2.5,2.583,2.584,2.418,1.833,2.202,2.376,2.321,2.547,2.332,1.991,2.246,2.401,2.262,2.529
0:40:00,3.159,2.357,1.569,1.11,0.613,0.177,0.238,0.214,0.24,0.252,0.28,0.244,0.609,0.392,2.072,2.511,1.876,2.553,1.048,0.789,2.514,2.523,2.575,2.481,2.072,1.515,2.336,2.493,2.577,2.577,2.415,1.829,2.197,2.372,2.314,2.541,2.322,1.985,2.24,2.396,2.255,2.523
0:45:00,3.149,2.352,1.565,1.106,0.612,0.177,0.238,0.214,0.24,0.252,0.28,0.244,0.607,0.392,2.067,2.506,1.872,2.547,1.046,0.788,2.509,2.518,2.57,2.475,2.066,1.513,2.332,2.489,2.573,2.571,2.404,1.824,2.192,2.366,2.309,2.535,2.316,1.979,2.234,2.389,2.247,2.517
