Kinetic read,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,E1,E2,E3,E4,E5,E6,F1,F2,F3,F4,F5,F6,G1,G2,G3,G4,G5,G6
0:00:00,3.007,2.372,1.55,1.149,0.641,0.165,0.207,0.2,0.211,0.22,0.228,0.215,0.818,0.628,2.174,2.202,2.327,2.297,1.656,1.157,2.118,2.06,2.141,2.128,1.932,2.113,1.98,1.865,1.972,2.141,1.777,2.018,1.787,1.965,1.738,2.086,1.72,1.966,1.893,1.941,2.051,2.116
0:05:00,3.1,2.42,1.611,1.162,0.652,0.166,0.209,0.201,0.214,0.224,0.23,0.217,0.836,0.643,2.224,2.239,2.395,2.332,1.703,1.191,2.182,2.109,2.202,2.174,2.043,2.205,2.109,2.076,2.148,2.28,1.957,2.181,1.994,2.12,1.985,2.243,1.814,2.134,2.022,2.047,2.164,2.235
0:10:00,3.137,2.425,1.618,1.163,0.652,0.167,0.21,0.202,0.214,0.224,0.23,0.218,0.837,0.645,2.228,2.246,2.402,2.336,1.704,1.193,2.186,2.116,2.208,2.179,2.055,2.215,2.129,2.128,2.2,2.294,1.986,2.2,2.039,2.134,2.078,2.259,1.821,2.144,2.031,2.055,2.174,2.246
0:15:00,3.155,2.425,1.616,1.161,0.651,0.168,0.21,0.202,0.215,0.224,0.231,0.219,0.835,0.644,2.227,2.246,2.401,2.336,1.701,1.191,2.185,2.117,2.209,2.179,2.058,2.218,2.132,2.156,2.226,2.294,1.99,2.2,2.056,2.135,2.146,2.262,1.82,2.143,2.032,2.056,2.174,2.246
0:20:00,3.163,2.422,1.613,1.158,0.65,0.169,0.211,0.203,0.215,0.225,0.231,0.219,0.833,0.643,2.223,2.244,2.397,2.333,1.697,1.188,2.182,2.115,2.208,2.176,2.057,2.217,2.132,2.174,2.243,2.292,1.989,2.198,2.062,2.133,2.204,2.262,1.816,2.139,2.03,2.054,2.171,2.242
0:25:00,3.162,2.418,1.609,1.156,0.648,0.169,0.211,0.203,0.215,0.225,0.231,0.219,0.831,0.641,2.219,2.241,2.391,2.329,1.692,1.184,2.178,2.112,2.205,2.173,2.056,2.215,2.13,2.185,2.252,2.287,1.986,2.196,2.062,2.131,2.245,2.26,1.811,2.133,2.025,2.048,2.166,2.235
0:30:00,3.156,2.413,1.606,1.153,0.647,0.169,0.212,0.204,0.215,0.225,0.232,0.22,0.829,0.64,2.215,2.236,2.387,2.323,1.687,1.181,2.172,2.108,2.201,2.167,2.055,2.213,2.129,2.19,2.254,2.284,1.982,2.194,2.062,2.129,2.271,2.257,1.806,2.129,2.021,2.044,2.161,2.229
0:35:00,3.147,2.406,1.602,1.15,0.646,0.17,0.212,0.203,0.215,0.225,0.232,0.22,0.826,0.639,2.209,2.232,2.38,2.317,1.682,1.178,2.167,2.102,2.196,2.161,2.05,2.208,2.125,2.187,2.253,2.277,1.978,2.189,2.059,2.124,2.276,2.251,1.8,2.122,2.015,2.038,2.154,2.221
0:40:00,3.139,2.401,1.598,1.147,0.645,0.17,0.212,0.204,0.215,0.225,0.232,0.22,0.825,0.638,2.203,2.227,2.373,2.311,1.677,1.175,2.162,2.098,2.191,2.157,2.045,2.204,2.122,2.184,2.251,2.273,1.974,2.185,2.056,2.121,2.275,2.246,1.795,2.127,2.01,2.032,2.147,2.214
0:45:00,3.129,2.394,1.593,1.144,0.643,0.171,0.212,0.204,0.215,0.225,0.232,0.22,0.822,0.636,2.198,2.221,2.368,2.304,1.672,1.172,2.157,2.093,2.186,2.151,2.041,2.2,2.118,2.18,2.248,2.266,1.97,2.181,2.052,2.116,2.271,2.24,1.789,2.122,2.004,2.027,2.141,2.206
