Time [hr],A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:04:20,38895,36107,34216,32135,29795,26659,22640,18186,11894,9047,7276,6007,34848,34013,33515,33803,34631,34701,35348,35487,34083,33498,5911,6028,34677,34724,35321,34588,36156,35660,35294,36061,35298,35358,6016,5858,35120,33837,33418,34489,34268,35348,35256,35469,34850,34096,5898,5849,34611,36246,35441,34859,35357,36711,35902,35957,35514,34766,5896,5767,33585,33333,34780,33914,36225,35457,35491,35632,34854,34557,5910,5978,35119,35638,34838,34540,35542,35620,35773,35685,34885,34553,6029,6027,,,,,,,,,,,,
0:09:20,39059,35926,34474,32262,29970,26675,22653,18318,11854,9091,7215,5962,35149,34148,33832,34089,34795,34828,35732,35573,34403,33739,5838,5883,34899,34685,35440,34708,36103,35760,35465,36191,35537,35175,5851,5686,35243,33920,33319,34481,34174,35466,35343,35626,34947,34109,5756,5804,34827,36440,35272,35197,35415,36835,36006,35802,35319,34586,5763,5783,33813,33369,34540,33835,36348,35648,35440,35533,34919,34502,5849,5765,35144,35666,34759,34853,35529,35780,35969,35549,35065,34701,5906,5916,,,,,,,,,,,,
0:14:20,39229,36164,34436,32298,30087,26632,22601,18182,12002,9008,7098,5895,35272,34082,33776,34364,35118,35164,35717,35844,34703,33956,5768,5863,35052,34824,35695,35034,36215,35919,35797,36321,35712,35886,5866,5761,35341,34057,33630,34703,34340,35798,35573,35621,35101,34311,5724,5722,34991,36342,35398,34903,35722,36807,36194,36085,35545,34602,5739,5649,33963,33442,34695,33853,36279,35765,35614,35629,35016,34427,5790,5798,35282,35731,34906,35078,35688,35738,35936,35592,35189,34599,5857,5798,,,,,,,,,,,,
0:19:20,39227,36154,34528,32340,30033,26649,22721,18181,11742,8943,7120,5849,35228,34079,33723,34267,34916,35000,35755,35928,34776,34041,5631,5830,35055,34854,35597,34826,36307,35748,35826,36405,35614,35787,5742,5648,35221,34036,33753,34871,34304,35893,35706,35625,35026,34451,5672,5682,35033,36628,35215,35021,35531,36757,36067,36165,35485,34605,5698,5688,33861,33281,34465,33707,36342,35510,35696,35817,34951,34177,5724,5740,35066,35741,34756,34859,35628,35849,36005,35607,35111,34585,5797,5859,,,,,,,,,,,,
0:24:20,39184,36093,34434,32344,30078,26773,22558,18154,11723,8787,7053,5751,35251,34148,33748,34155,34922,34901,35759,35724,34744,34021,5704,5712,34968,34791,35720,34942,36530,35767,35980,36268,35665,35645,5677,5609,35347,34174,33444,34563,34591,35677,35681,35760,35121,34246,5657,5661,35014,36273,35346,34985,35621,36722,36104,36078,35522,34483,5634,5556,34001,33288,34645,33625,36390,35657,35852,35863,35041,34246,5722,5729,35224,35613,34654,34850,35647,35651,35788,35489,35190,34460,5767,5757,,,,,,,,,,,,
0:29:20,39300,35985,34424,32130,30053,26830,22682,18053,11730,8824,6970,5796,35339,33779,33898,34278,35021,35118,35831,35703,34618,33993,5623,5712,35010,34939,35787,34883,36526,35877,36036,36235,35452,35629,5665,5546,35453,33991,33694,34618,34351,35672,35674,35852,35386,34354,5643,5594,34973,36310,35173,34948,35608,36769,36299,35925,35314,34368,5568,5585,33853,33050,34311,33609,36427,35684,35886,35883,34972,34105,5652,5671,35163,35481,34308,34717,35728,35548,35893,35580,35140,34365,5769,5710,,,,,,,,,,,,
0:34:20,38926,36259,34305,32236,30017,26806,22608,18062,11708,8678,6979,5752,35016,34020,33639,34137,34915,35136,35724,35758,34667,33955,5657,5639,34954,34921,35564,34812,36483,35922,36051,36253,35765,35685,5650,5594,35290,33836,33574,34555,34410,35838,35668,35654,35126,34355,5663,5596,34930,36302,35157,34695,35572,36743,36198,35904,35589,34384,5541,5616,33949,32941,34281,33485,36285,35506,35885,35419,34798,34165,5578,5686,35031,35324,34068,34609,35555,35616,35955,35467,34982,34317,5736,5655,,,,,,,,,,,,
0:39:20,39040,35796,34228,32203,30060,26679,22524,18068,11628,8691,6958,5774,35188,33879,33740,33947,34832,35038,35581,35664,34556,33949,5612,5659,34944,34685,35527,34850,36703,35743,35984,36287,35660,35596,5647,5564,35310,33631,33582,34467,34381,35646,35704,35637,35272,34492,5640,5560,34854,35980,35004,34657,35467,36812,36232,35979,35328,34237,5551,5484,33872,32925,33859,33304,36131,35299,35633,35543,34854,33950,5617,5647,35016,35399,34110,34304,35468,35563,35836,35119,35046,34034,5706,5677,,,,,,,,,,,,
0:44:20,38890,35914,34326,32238,30036,26663,22495,18076,11665,8705,6880,5695,35120,33976,33620,34193,34781,35101,35776,35684,34514,33843,5596,5681,34986,34675,35631,34928,36533,35691,35977,36054,35665,35460,5686,5438,35241,33799,33544,34545,34408,35762,35753,35675,35193,34548,5567,5636,34915,35889,34623,34707,35592,36842,36266,35846,35362,34159,5560,5567,33895,33027,33882,33306,36251,35281,36061,35119,34874,33856,5624,5595,35027,35120,33840,34287,35310,35417,35806,35206,34891,33826,5766,5692,,,,,,,,,,,,
0:49:20,38952,35913,34078,32137,29994,26520,22519,18000,11648,8716,6871,5693,35166,33857,33552,33980,34951,34965,35819,35561,34575,33915,5524,5546,34992,34706,35466,34845,36341,35922,36023,36299,35596,35616,5646,5543,35257,33739,33520,34667,34396,35755,35699,35631,35021,34483,5514,5561,34881,35748,34706,34397,35443,36732,36286,35855,35293,34067,5565,5482,33971,32838,33758,33194,36121,35493,35755,35315,34854,33746,5583,5586,34903,34934,33502,34096,35334,35573,35766,35138,34950,33721,5656,5650,,,,,,,,,,,,
